--------- beginning of main
09-10 12:06:42.024  3972  3989 I ArchitectureSpikeTest: Staging Qwen fixture (986048768 bytes)
09-10 12:06:42.895  3972  3989 I LlamaJNI: Loading model from: /data/user/0/com.yomu.app/files/models/llm/qwen25_1.5b_instruct_q4_k_m.gguf
09-10 12:06:44.260  3972  3989 I LlamaJNI: Model loaded: n_ctx=2048 n_threads=4 n_gpu_layers=0
09-10 12:06:44.260  3972  3989 I LlamaJNI: Model loaded successfully
09-10 12:06:44.261  3972  3989 I LlamaBridge: loadModel completed loaded=true
09-10 12:06:44.261  3972  3989 I ArchitectureSpikeTest: ARM_START arm=qwen_perline idKeyedBatch=false grammar=false sessionContext=false
09-10 12:06:44.663  3972  3989 I LlamaJNI: Generation complete tokens=14 resultLength=61 durationMs=397 sampleMs=0.72 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:44.663  3972  3989 I LlamaBridge: generate completed status=success durationMs=396 responseLength=61
09-10 12:06:44.663  3972  3989 I LlamaTranslationBridge: generate success promptLength=238 translatedLength=61 maxTokens=256 durationMs=396
09-10 12:06:44.663  3972  3989 I LlamaTranslationBridge: generate raw=But no matter how many balloons I collect, they won't float!!
09-10 12:06:44.882  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=7 durationMs=218 sampleMs=0.24 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:44.882  3972  3989 I LlamaBridge: generate completed status=success durationMs=219 responseLength=7
09-10 12:06:44.882  3972  3989 I LlamaTranslationBridge: generate success promptLength=214 translatedLength=7 maxTokens=256 durationMs=219
09-10 12:06:44.882  3972  3989 I LlamaTranslationBridge: generate raw=mugigga
09-10 12:06:45.175  3972  3989 I LlamaJNI: Generation complete tokens=9 resultLength=39 durationMs=292 sampleMs=0.47 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:45.175  3972  3989 I LlamaBridge: generate completed status=success durationMs=293 responseLength=39
09-10 12:06:45.176  3972  3989 I LlamaTranslationBridge: generate success promptLength=228 translatedLength=39 maxTokens=256 durationMs=293
09-10 12:06:45.176  3972  3989 I LlamaTranslationBridge: generate raw=Why, then, are disposable cameras used?
09-10 12:06:45.505  3972  3989 I LlamaJNI: Generation complete tokens=11 resultLength=48 durationMs=329 sampleMs=0.58 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:45.505  3972  3989 I LlamaBridge: generate completed status=success durationMs=329 responseLength=48
09-10 12:06:45.505  3972  3989 I LlamaTranslationBridge: generate success promptLength=235 translatedLength=48 maxTokens=256 durationMs=329
09-10 12:06:45.505  3972  3989 I LlamaTranslationBridge: generate raw=Earth's photos are all over the internet, right?
09-10 12:06:45.725  3972  3989 I LlamaJNI: Generation complete tokens=4 resultLength=11 durationMs=219 sampleMs=0.24 grammarMs=0.00 grammarRejections=0 grammar=0
09-10 12:06:45.725  3972  3989 I LlamaBridge: generate completed status=success durationMs=220 responseLength=11
09-10 12:06:45.725  3972  3989 I LlamaTranslationBridge: generate success promptLength=214 translatedLength=11 maxTokens=256 durationMs=220
09-10 12:06:45.725  3972  3989 I LlamaTranslationBridge: generate raw=I love you.
